Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-26.087853,-94.921853,-45,bottom
C2,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-36.210875,-85.074125,135,bottom
C3,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-29.067125,-92.217875,-45,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-48.090841,-95.974784,45,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-41.671875,-103.584375,135,bottom
C6,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-33.565216,-102.367466,-45,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-44.45,-87.97925,-45,bottom
D1,D,D_SOD-123,-31.1,-32.146875,90,bottom
D2,D,D_SOD-123,-41.671875,-32.146875,90,bottom
D3,D,D_SOD-123,-98.821875,-32.146875,90,bottom
D4,D,D_SOD-123,-194.071875,-32.146875,90,bottom
D5,D,D_SOD-123,-251.221875,-32.146875,90,bottom
D6,D,D_SOD-123,-275.034375,-32.146875,90,bottom
D7,D,D_SOD-123,-117.871875,-52.197,90,bottom
D8,D,D_SOD-123,-136.921875,-51.196875,90,bottom
D9,D,D_SOD-123,-155.971875,-52.201,90,bottom
D10,PRTR5V0U2X,SOT-143,-9.652,-82.344,-90,bottom
D11,D,D_SOD-123,-32.146875,-168.928125,90,bottom
D12,D,D_SOD-123,-175.021875,-51.196875,90,bottom
D13,D,D_SOD-123,-135.73125,-70.246875,90,bottom
D14,D,D_SOD-123,-146.446875,-70.246875,90,bottom
D15,D,D_SOD-123,-157.1625,-57.15,90,bottom
D16,D,D_SOD-123,-13.096875,-189.309375,90,bottom
D17,D,D_SOD-123,-32.146875,-190.359375,90,bottom
D18,D,D_SOD-123,-51.196875,-189.309375,90,bottom
D19,D,D_SOD-123,-70.246875,-190.359375,90,bottom
D20,D,D_SOD-123,-89.296875,-189.309375,90,bottom
D21,D,D_SOD-123,-108.346875,-190.363375,90,bottom
D22,D,D_SOD-123,-142.875,-168.828125,90,bottom
D23,D,D_SOD-123,-165.496875,-189.309375,90,bottom
D24,D,D_SOD-123,-213.121875,-110.728125,90,bottom
D25,D,D_SOD-123,-127.396875,-189.209375,90,bottom
D26,D,D_SOD-123,-146.446875,-189.309375,90,bottom
D27,D,D_SOD-123,-79.771875,-111.778125,90,bottom
D28,D,D_SOD-123,-60.721875,-110.728125,90,bottom
D29,D,D_SOD-123,-184.546875,-190.363375,90,bottom
D30,D,D_SOD-123,-203.596875,-189.309375,90,bottom
D31,D,D_SOD-123,-222.646875,-190.363375,90,bottom
D32,D,D_SOD-123,-259.55625,-130.828125,90,bottom
D33,D,D_SOD-123,-241.696875,-189.309375,90,bottom
D34,D,D_SOD-123,-213.121875,-129.778125,90,bottom
D35,D,D_SOD-123,-194.071875,-130.828125,90,bottom
D36,D,D_SOD-123,-260.746875,-190.359375,90,bottom
D37,D,D_SOD-123,-79.771875,-130.828125,90,bottom
D38,D,D_SOD-123,-60.721875,-129.778125,90,bottom
D39,D,D_SOD-123,-34.528125,-129.778125,90,bottom
D40,D,D_SOD-123,-161.925,-167.878125,90,bottom
D41,D,D_SOD-123,-260.746875,-149.878125,90,bottom
D42,D,D_SOD-123,-279.796875,-189.309375,90,bottom
D43,D,D_SOD-123,-203.596875,-148.828125,90,bottom
D44,D,D_SOD-123,-251.221875,-129.778125,90,bottom
D45,D,D_SOD-123,-184.546875,-149.878125,90,bottom
D46,D,D_SOD-123,-108.346875,-149.878125,90,bottom
D47,D,D_SOD-123,-70.246875,-149.878125,90,bottom
D48,D,D_SOD-123,-51.196875,-148.828125,90,bottom
D49,D,D_SOD-123,-39.290625,-148.828125,90,bottom
D50,D,D_SOD-123,-122.634375,-204.7875,90,bottom
D51,D,D_SOD-123,-279.796875,-167.878125,90,bottom
D52,D,D_SOD-123,-260.746875,-168.928125,90,bottom
D53,D,D_SOD-123,-215.503125,-168.928125,90,bottom
D54,D,D_SOD-123,-125.015625,-203.596875,90,bottom
