Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,26.087853,-16.340603,-45,bottom
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,36.210875,-6.492875,135,bottom
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,29.067125,-13.636625,-45,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.090841,-17.393534,45,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.671875,-25.003125,135,bottom
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.528,-24.13,-45,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,45.3,-9.8,0,bottom
D1,D,D_SOD-123_Emphasized_Direction_Line,151.209374,-89.296875,90,bottom
D10,PRTR5V0U2X,SOT-143_Handsoldering,9.652,-3.81,-90,bottom
D11,D,D_SOD-123_Emphasized_Direction_Line,32.146874,-89.296875,90,bottom
D22,D,D_SOD-123_Emphasized_Direction_Line,132.159374,-88.10625,90,bottom
D24,D,D_SOD-123_Emphasized_Direction_Line,213.121875,-32.146875,90,bottom
D27,D,D_SOD-123_Emphasized_Direction_Line,79.771875,-33.196875,90,bottom
D28,D,D_SOD-123_Emphasized_Direction_Line,60.721875,-32.146875,90,bottom
D32,D,D_SOD-123_Emphasized_Direction_Line,259.55625,-52.246875,90,bottom
D34,D,D_SOD-123_Emphasized_Direction_Line,213.121875,-51.196875,90,bottom
D35,D,D_SOD-123_Emphasized_Direction_Line,194.071875,-52.246875,90,bottom
D37,D,D_SOD-123_Emphasized_Direction_Line,79.771875,-52.246875,90,bottom
D38,D,D_SOD-123_Emphasized_Direction_Line,60.721875,-51.196875,90,bottom
D39,D,D_SOD-123_Emphasized_Direction_Line,34.528125,-51.196875,90,bottom
D40,D,D_SOD-123_Emphasized_Direction_Line,170.259375,-88.10625,90,bottom
D41,D,D_SOD-123_Emphasized_Direction_Line,260.746875,-71.296875,90,bottom
D43,D,D_SOD-123_Emphasized_Direction_Line,203.596875,-70.246875,90,bottom
D44,D,D_SOD-123_Emphasized_Direction_Line,251.221875,-51.196875,90,bottom
D45,D,D_SOD-123_Emphasized_Direction_Line,184.546875,-71.296875,90,bottom
D46,D,D_SOD-123_Emphasized_Direction_Line,108.346875,-71.296875,90,bottom
D47,D,D_SOD-123_Emphasized_Direction_Line,70.246875,-71.296875,90,bottom
D48,D,D_SOD-123_Emphasized_Direction_Line,51.196875,-70.246875,90,bottom
D49,D,D_SOD-123_Emphasized_Direction_Line,13.096874,-70.246875,90,bottom
D51,D,D_SOD-123_Emphasized_Direction_Line,265.404065,-89.296875,90,bottom
D52,D,D_SOD-123_Emphasized_Direction_Line,260.746875,-90.346875,90,bottom
D53,D,D_SOD-123_Emphasized_Direction_Line,215.503124,-89.296875,90,bottom
D56,D,D_SOD-123_Emphasized_Direction_Line,103.584374,-89.296875,90,bottom
D57,D,D_SOD-123_Emphasized_Direction_Line,77.390624,-89.296875,90,bottom
D59,D,D_SOD-123_Emphasized_Direction_Line,17.859374,-88.10625,90,bottom
D74,D,D_SOD-123_Emphasized_Direction_Line,232.171875,-33.196875,90,bottom
D79,D,D_SOD-123_Emphasized_Direction_Line,41.671875,-52.246875,90,bottom
D84,D,D_SOD-123_Emphasized_Direction_Line,232.171875,-52.246875,90,bottom
D87,D,D_SOD-123_Emphasized_Direction_Line,98.821875,-51.196875,90,bottom
D89,D,D_SOD-123_Emphasized_Direction_Line,32.146874,-71.296875,90,bottom
D91,D,D_SOD-123_Emphasized_Direction_Line,279.796875,-70.246875,90,bottom
D92,D,D_SOD-123_Emphasized_Direction_Line,239.315625,-89.296875,90,bottom
D93,D,D_SOD-123_Emphasized_Direction_Line,241.696875,-70.246875,90,bottom
D94,D,D_SOD-123_Emphasized_Direction_Line,222.646875,-71.296875,90,bottom
D96,D,D_SOD-123_Emphasized_Direction_Line,196.453124,-89.296875,90,bottom
D97,D,D_SOD-123_Emphasized_Direction_Line,89.296875,-70.246875,90,bottom
D98,D,D_SOD-123_Emphasized_Direction_Line,59.531249,-88.10625,90,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,27.384375,-2.95275,180,bottom
J7,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4085,15.55,-5.93996,0,bottom
J8,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,39.434375,-34.6125,90,bottom
J9,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,67.704065,-9.521595,0,bottom
J10,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,276.2625,-35.71875,90,bottom
R1,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,27.384375,-5.74675,180,bottom
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,9.525,-8.382,0,bottom
R3,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20.828,-13.716,180,bottom
R4,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20.828,-11.176,180,bottom
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,28.993216,-19.245966,-45,bottom
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,50.038,-19.33575,45,bottom
R8,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,63.504065,-9.521595,0,bottom
R9,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,63.504065,-7.112,0,bottom
ResetSW1,5.2x5.2mm,SW_SPST_TL3342,26.20004,-48.82036,-90,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,39.290625,-16.66875,45,bottom
U2,24LC64,SO-8_3.9x4.9mm_P1.27mm,76.2,-6.675,180,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,32.639,-10.06475,-135,bottom
