Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,1d23b097-72e0-487b-bec7-a328ee8b6ed7,126.206301,-33.337449,0,top
J1,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,126.20625,-26.19375,-90,top
J2,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,133.35,-35.71875,180,top
J3,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,142.875,-36.909375,180,top
J4,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,152.4,-35.71875,180,top
J5,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,159.54375,-26.19375,90,top
J6,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,159.54375,-15.478125,90,top
L3,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,5.08125,-28.575,180,top
L4,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,4.7625,-75.6,180,top
L5,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,19.8,-90.4875,90,top
L6,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,61.9125,-90.4875,90,top
L7,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,114.3,-90.4875,90,top
L8,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,171.45,-90.4875,90,top
L9,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,220.265625,-90.4875,90,top
L10,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,266.7,-90.4875,90,top
L11,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,280.9875,-75.2,180,top
L12,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,280.9875,-28.575,180,top
L13,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,266.7,-3.571875,180,top
L14,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,219.075,-3.571875,180,top
L15,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,171.45,-3.571875,180,top
L16,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,114.3,-3.571875,180,top
L17,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,66.675,-3.571875,180,top
L18,SK6812MINI-E,YS-SK6812MINI-E_middle_hole_with_small_pad,28.575,-3.571875,180,top
REF**,60_Outline,60_Outline-Sandy-Base7-remove_NPTH,142.875,-66.675,0,top
RE_L1,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11K-Switch_Vertical_H20mm_NPTH_MP_minimal,9.52504,-85.72536,180,top
RE_L2,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11K-Switch_Vertical_H20mm_NPTH_MP_minimal,142.87504,-85.725,0,top
RE_R1,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11K-Switch_Vertical_H20mm_NPTH_MP_minimal,276.22616,-85.72536,0,top
SW_;1,SW_Push,MXOnly-1U-Hotswap-guide,247.65004,-47.62536,0,top
SW_<1,SW_Push,MXOnly-1U-Hotswap-guide,219.07576,-66.67528,0,top
SW_>1,SW_Push,MXOnly-1U-Hotswap-guide,238.12584,-66.67528,0,top
SW_A1,SW_Push,MXOnly-1U-Hotswap-guide,38.1,-47.62516,0,top
SW_C1,SW_Push,MXOnly-1U-Hotswap-guide,85.725,-66.67524,0,top
SW_CAPS1u1,SW_Push,MXOnly-1U-Hotswap-on-RE-guide,9.52504,-85.72536,180,top
SW_CTL1.5u1,SW_Push,MXOnly-1.5U-Hotswap-guide,14.28754,-47.62536,180,top
SW_CTL1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,16.66882,-47.6252,0,top
SW_CenterC1u1,SW_Push,MXOnly-1U-Hotswap-on-RE-guide,142.87504,-85.72536,0,top
SW_CenterL1u2,SW_Push,MXOnly-1U-Hotswap-guide,123.82544,-85.72536,0,top
SW_CenterR1u2,SW_Push,MXOnly-1U-Hotswap-guide,161.92504,-85.72536,0,top
SW_D1,SW_Push,MXOnly-1U-Hotswap-guide,76.2,-47.62516,0,top
