Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123_Emphasized_Direction_Line,16.66875,-20.240625,0,bottom
D2,D,D_SOD-123_Emphasized_Direction_Line,40.48125,-20.240625,0,bottom
D3,D,D_SOD-123_Emphasized_Direction_Line,97.63125,-20.240625,0,bottom
D4,D,D_SOD-123_Emphasized_Direction_Line,192.421875,-20.240625,0,bottom
D5,D,D_SOD-123_Emphasized_Direction_Line,250.03125,-20.240625,0,bottom
D6,D,D_SOD-123_Emphasized_Direction_Line,273.84375,-20.240625,0,bottom
D7,D,D_SOD-123_Emphasized_Direction_Line,110.728125,-39.290625,0,bottom
D8,D,D_SOD-123_Emphasized_Direction_Line,118.33125,-39.290625,0,bottom
D9,D,D_SOD-123_Emphasized_Direction_Line,166.6875,-39.290625,0,bottom
D10,D,D_SOD-123_Emphasized_Direction_Line,173.83125,-39.290625,0,bottom
D11,D,D_SOD-123_Emphasized_Direction_Line,126.20625,-58.340625,0,bottom
D12,D,D_SOD-123_Emphasized_Direction_Line,145.25625,-58.340625,0,bottom
D13,D,D_SOD-123_Emphasized_Direction_Line,160.734375,-58.340625,0,bottom
J1,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,177.8,-15.478125,90,bottom
J2,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,177.8,-26.19375,90,bottom
J3,Conn_02x02_Top_Bottom,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin,107.15625,-26.19375,-90,bottom
